smiles,pic50
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccc(Br)cc1C,6.84
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccc(OC)cc1Cl,7.695
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(-n2cccn2)cc1,5.55
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(C(F)(F)F)cn1,6.53
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccccc1,7.1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)O,4.88
C=C(CN(C)c1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1)C(=O)Nc1ccccc1,4.46
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(=O)O,5.62
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(=O)OC,6.11
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(N)=O,5.29
C=C(CNc1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1)C(=O)Nc1ccccc1,4.99
C=C1CN(c2cncc3ccccc23)C(=O)[C@]12CN(Cc1ccc(OC)cc1OC)C(=O)c1ccc(F)cc12,7.0
C=CC(=O)N(C)c1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1,5.76
C=CC(=O)N1CCCCc2ccc(N(Cc3ccc(Cl)cc3)C(=O)Cc3cncc4ccccc34)cc21,4.56
C=CC(=O)N1CCCc2c1cccc2N(C(=O)Cc1cncc2ccccc12)C1(c2cccc(Cl)c2)COC1,4.99
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(-c2ccc[nH]2)c1)C(=O)Cc1cncc2ccccc12,4.79
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(C(=O)NC)c1)C(=O)Cc1cncc2ccccc12,4.2
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,6.32
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc([C@H]2CCCN2)c1)C(=O)Cc1cncc2ccccc12,4.26
C=CC(=O)N1CCCc2ccc(N(C(=O)Cc3cncc4ccccc34)N(C)c3cccc(Cl)c3)cc21,8.19
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(-c4ccccc4)c3)C(=O)Cc3cncc4ccccc34)cc21,5.88
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Br)c3)C(=O)Cc3cncc4ccccc34)cc21,7.62
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(C(F)(F)F)c3)C(=O)Cc3cncc4ccccc34)cc21,7.4
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4c(F)cccc34)cc21,7.41
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc21,7.74
C=CC(=O)N1CCc2c1cccc2N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.08
C=CC(=O)N1CCc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc21,5.75
C=CC(=O)N1C[C@H](C(N)=O)Cc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc21,6.66
C=CC(=O)NC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,5.5
C=CC(=O)Nc1ccc(Cl)c(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1,5.3
C=CC(=O)Nc1ccc(F)c(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1,5.28
C=CC(=O)Nc1cccc(N(Cc2cc(Cl)ccc2Cl)C(=O)Cc2cncc3ccccc23)c1,4.79
C=CC(=O)Nc1cccc(N(Cc2ccc(Cl)cc2Cl)C(=O)Cc2cncc3ccccc23)c1,4.22
C=CC(=O)Nc1cccc(N(Cc2cccc(-c3cc[nH]c3)c2)C(=O)Cc2cncc3ccccc23)c1,4.05
C=CC(=O)Nc1cccc(N(Cc2cccc(-c3ccoc3)c2)C(=O)Cc2cncc3ccccc23)c1,4.81
C=CC(=O)Nc1cccc(N(Cc2cccc(C(=N)N)c2)C(=O)Cc2cncc3ccccc23)c1,5.18
C=CC(=O)Nc1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1,5.57
C=CC(=O)Nc1cccc(N(Cc2cccc3ccoc23)C(=O)Cc2cncc3ccccc23)c1,4.77
C=CC(=O)Nc1cccc(N(Cc2cccc3ccsc23)C(=O)Cc2cncc3ccccc23)c1,4.55
C=CC(=O)Nc1ccccc1N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.16
C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(CN)c1,4.43
C=CC[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,4.65
C=CC[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,4.11
C=CC[C@H](Nc1cccc(C(=O)O)c1)c1cc(Cl)cc2[nH]ncc12,4.42
C=CC[C@H](Nc1cccc(Cl)c1)c1cccc(-c2nn[nH]n2)c1,4.62
C=CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.984999999999999
CC(=O)N1CCN(S(=O)(=O)OCC(=O)N2CCN(Cc3cccc(Cl)c3)[C@H](CC(C)C)C2)CC1,7.14
CC(=O)N1C[C@@]2(CC[C@H]1C)NC(=O)N(c1cncc3ccccc13)C2=O,4.36
CC(=O)N1C[C@]2(CC[C@H]1C)NC(=O)N(c1cncc3ccccc13)C2=O,4.21
CC(=O)Nc1ccc(N(C)C(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,5.83
CC(=O)Nc1ccc(NC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,7.47
CC(=O)c1cccc(CN2CCN(C(=O)COS(=O)(=O)N3CCOCC3)C[C@H]2CC(C)C)c1,6.13
CC(C)(C#N)NC(=O)[C@H](Cc1cccc(Cl)c1)c1cncc2ccccc12,4.12
CC(C)(C#N)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)cc1,6.2
CC(C)(C)N(Cc1ccccc1)C(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,6.0
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,8.68
CC(C)(F)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,6.02
CC(C)(NC(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)c1ccccc1,6.74
CC(C)(NC(=O)c1cncc2ccccc12)c1cccc(C#N)c1,4.23
CC(C)(O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.55
CC(C)C1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.13
CC(C)C1(F)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.21
CC(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,6.33
CC(C)CC1(C(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,7.06
CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.47
CC(C)CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,5.31
CC(C)CCN(Cc1ccccc1)C(=O)Cc1cncc2ccccc12,5.13
CC(C)CC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,5.125
CC(C)CNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@@H]21,7.26
CC(C)CNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,5.35
CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)Cc1ccccc1)C2)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,4.2
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N(C)C)CCN1Cc1cccc(Cl)c1,5.99
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCC2)CCN1Cc1cccc(Cl)c1,5.83
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCCC2)CCN1Cc1cccc(Cl)c1,6.41
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCNCC2)CCN1Cc1cccc(Cl)c1,6.92
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1Cc1cc(Cl)cc2ccccc12,6.79
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1Cc1cccc(Cl)c1,6.9
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1Cc1cccc(F)c1,5.95
CC(C)C[C@H]1CN(C(=O)COS(N)(=O)=O)CCN1Cc1cccc(Cl)c1,5.17
CC(C)N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.82
CC(C)NC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,6.53
CC(C)NC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,6.65
CC(C)NS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,5.51
CC(C)O[C@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,4.39
CC(C)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,5.13
CC(C)[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,6.476666666666667
CC(C)[C@]1(C#N)CCN(C(=O)Cc2cncc3ccccc23)C1,5.743333333333333
CC(C)[C@]1(O)CCCN(C(=O)Cc2cncc3ccccc23)C1,4.31
CC(C)c1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,4.82
CC(C)c1nc([C@H]2CCCN(C(=O)Cc3cncc4ccccc34)C2)no1,4.04
CC(F)(F)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,6.23
CC(F)(F)[C@H](C(=O)Nc1cncc2ccccc12)c1ccccc1,4.91
CC1(C(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.11
CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.66
CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(c1cncc3ccccc13)C2=O,4.47
CC1(C)CN(C(=O)Cc2cncc3ccccc23)[C@H]1c1cccs1,4.86
CC1(C)CN(C(=O)Cc2cncc3ccccc23)[C@H]2COC[C@H]21,4.42
CC1(C)[C@@H]2CN(C(=O)Cc3cncc4ccccc34)C[C@@H]21,5.46
CC1(CC(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.81
CC1(F)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.31
CC1(O)CCN(C(=O)Cc2cncc3ccccc23)CC1,4.62
CC1(c2ccccc2)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.16
CC1CCC2(CC1)CCN(C(=O)Cc1cncc3ccccc13)C2,6.16
CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,5.73
CCC(=O)N1CCCc2c1cccc2N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.89
CCC(=O)Nc1cccc(N(Cc2ccccc2)C(=O)Cc2cncc3ccccc23)c1,4.55
CCC(=O)[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.34
CCC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,6.13
CCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,6.04
CCCCNC(=O)c1cnc([C@H](NC(=O)CCl)c2cccc(Cl)c2)s1,5.25
CCCCNC(=O)c1cnc([C@H](NC(=O)CCl)c2ccccc2)s1,4.72
CCCN(CCc1cccs1)C(=O)Cc1cncc2ccccc12,4.68
CCC[C@]1(Cc2ccccc2)CCCN1C(=O)Cc1cncc2ccccc12,5.1
CCN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2)CC1,7.55
CCN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2F)CC1,7.43
CCNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,7.73
CCNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,7.48
CCNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,6.67
CCO[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.14
CCO[C@@H]1C[C@@H](C)N(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,4.57
CCO[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NC)C(=O)c1ccc(Cl)cc12,7.37
CCOc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,6.9
CCOc1cccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)c1,7.05
CCOc1ccccc1CNC(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,6.94
CCS(=O)(=O)N1CC2(C1)C(=O)N(c1cncc3ccccc13)C(=O)N2C,4.76
CCS(=O)(=O)N[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NC)C(=O)c1ccc(Cl)cc12,6.87
CC[C@@H]1C[C@H](C)CCN1C(=O)Cc1cncc2ccccc12,5.64
CC[C@H](C(=O)Nc1cncc2ccccc12)c1cc(F)c(F)c(F)c1,6.11
CC[C@H](C(=O)Nc1cncc2ccccc12)c1ccccc1,5.03
CC[C@H](C)OC1CCN(C(=O)Cc2cncc3ccccc23)CC1,4.33
CC[C@H](c1ccccc1)[C@H]1CCCN1C(=O)Cc1cncc2ccccc12,4.92
CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.8100000000000005
CC[C@H]1CN(C(=O)Cc2cncc3ccccc23)C[C@@H]1c1ccc(OC)cc1,4.88
CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)Cc1cncc2ccccc12,5.9799999999999995
CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,6.109999999999999
CCc1cc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)on1,4.54
CCc1cc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)on1,4.25
CCc1ccc(CNC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)cc1,6.99
CCc1ccc([C@H]2C[C@H](C)CCN2C(=O)Cc2cncc3ccccc23)o1,6.256666666666667
CCc1cccc([C@H]2CCN(C(=O)Cc3cncc4ccccc34)C2)c1,4.55
CCc1nc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)no1,4.2
CCn1ccc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(C(C)C)cc2)n1,5.38
CCn1ccnc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,4.14
CCn1nccc1CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,7.28
CN(C(=O)Cc1cncc2ccccc12)[C@H](c1ccc(Cl)cc1)C1CC1,4.8
CN(C)C(=O)CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.21
CN(C)C(=O)CN(Cc1ccccc1)C(=O)Cc1cncc2ccccc12,4.55
CN(C)C(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,4.55
CN(C)CCN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,4.67
CN(C)[C@]1(C)CCN(C(=O)Cc2cncc3ccccc23)C1,4.19
CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)nc1,6.5
CN(C)c1cccc([C@H]2CCCN2C(=O)Cc2cncc3ccccc23)c1,4.34
CN(CCc1ccccc1)C(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1,6.01
CN(CCc1ccccc1Cl)C(=O)Cc1cncc2ccccc12,4.56
CN(C[C@H]1CCCN1C(=O)Cc1cncc2ccccc12)c1ccccc1,4.91
CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.23
CN(c1ccccc1)[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,4.51
CN1C(=O)N(c2cncc3ccccc23)C(=O)C12CN(Cc1ccccc1)C2,5.4
CN1C(=O)N(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)C1CC1)C2,4.74
CN1C(=O)N(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)c1ccccc1)C2,5.12
CN1C(=O)N(c2cncc3ccccc23)C(=O)[C@@H]1Cc1ccccc1,4.06
CN1C(=O)N(c2cncc3ccccc23)C(=O)[C@H]1Cc1ccccc1,4.06
CN1C(=O)[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc21,5.21
CN1C(=O)c2ccc(Cl)cc2[C@]12CCCN(c1cncc3ccccc13)C2=O,5.57
CN1C(=O)c2ccc(Cl)cc2[C@]12CCN(c1cncc3ccccc13)C2=O,4.73
CN1CC2(CCN(C(=O)Cc3cncc4ccccc34)CC2)c2ccccc21,4.54
CN1CCC[C@H]2CCN(C(=O)Cc3cncc4ccccc34)C[C@H]21,4.37
CN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2)CC1,6.69
CN1CCN(c2ccc(NC(=O)CN3Cc4ccc(Cl)cc4[C@H](C(=O)Nc4cncc5ccccc45)C3)cc2F)CC1,7.24
CN1CCN(c2ccccc2NC(=O)CN2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CC1,5.78
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(C#N)ccc2C1=O,5.5
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(C(F)(F)F)ccc2C1=O,5.095000000000001
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(C3CC3)ccc2C1=O,4.82
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(CC#N)ccc2C1=O,4.205
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(CO)ccc2C1=O,4.34
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,5.91
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(F)ccc2C1=O,5.68
CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2ccccc2C1=O,5.22
CN1C[C@H](Cc2ccccc2)N(C(=O)Cc2cncc3ccccc23)CC1=O,4.49
CN1C[C@H]2[C@H](CCCN2C(=O)Cc2cncc3ccccc23)C1=O,4.05
CN1C[C@]2(CCCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,5.98
CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,6.31
CN1c2ccccc2N(CCNC(=O)c2cncc3ccccc23)S1(=O)=O,4.15
CNC(=O)C1(N2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)CC1,8.04
CNC(=O)C1(N2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)CC1,7.57
CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,4.4
CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,7.54
CNC(=O)CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,5.36
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2c(F)cccc2C1=O,4.38
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,7.87
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2ccc(F)cc2C1=O,6.28
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cccc(F)c2C1=O,5.89
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2ccccc2C1=O,6.48
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cnccc2C1=O,5.59
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CC#N)c2cc(Cl)ccc2C1=O,7.41
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CC#N)c2cc(F)ccc2C1=O,6.77
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CCl)c2cc(Cl)ccc2C1=O,8.14
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CF)c2cc(Cl)ccc2C1=O,7.51
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccc(Cl)nn2)c2cc(Cl)ccc2C1=O,7.45
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccccc2)c2cc(Cl)ccc2C1=O,8.46
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccn[nH]2)c2cc(Cl)ccc2C1=O,8.1
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccnc(C)n2)c2cc(Cl)ccc2C1=O,7.5
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccncn2)c2cc(Cl)ccc2C1=O,7.65
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cn[nH]c2)c2cc(Cl)ccc2C1=O,7.21
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnc(C)s2)c2cc(Cl)ccc2C1=O,8.45
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnccn2)c2cc(Cl)ccc2C1=O,7.09
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cncs2)c2cc(Cl)ccc2C1=O,8.73
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnn(C)c2)c2cc(Cl)ccc2C1=O,8.0
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ncncn2)c2cc(Cl)ccc2C1=O,7.96
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2nncs2)c2cc(Cl)ccc2C1=O,8.16
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2scnc2C)c2cc(Cl)ccc2C1=O,8.38
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COC(C)C)c2cc(Cl)ccc2C1=O,6.94
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COC(C)C)c2cc(F)ccc2C1=O,6.73
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COC)c2cc(Cl)ccc2C1=O,7.54
CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COC2CCC2)c2cc(Cl)ccc2C1=O,8.18
