Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,transformed_solubility,transformed_smiles
"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,86.06435589751594,Zaraa{Z}a{Z}a{arZ}asa{Z}a{Z}aa{Z}asZ 
Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82,CCCOC(=O)CC,12.326270345341683,AAABA{~B}AA
Triamcinolone,-2.734,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,97.72648751504005,AAtuAA{B}Ar{G}A{AAAs~AA{~B}A~AArsA}AtAA{B}Au{B}A{~B}AB
p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8,Nc1ccc(O)cc1,11.706291144914632,Daraaa{B}aar
Benznidazole,-2.321,1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,93.22159810718838,B~A{AdraadarD{~B}~B}DAasaaaaas
"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.84400000000016,1,4,2,54.37,-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,11.523002434151614,BAu~A{ArAAA{AAr}asaaa{Z}aas}A{~B}ataaaaatAu~B
Trietazine,-3.233,1,229.715,1,1,5,53.940000000000005,-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC,89.3450351384252,AADarda{Z}da{dr}D{AA}AA
Pyrazinamide,-0.674,1,123.11499999999998,1,1,1,68.87,-0.667,NC(=O)c1cnccn1,7.947870259650286,DA{~B}aradaadr
Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O,89.78225882442429,AAA{X}{AA}A{~B}DA{D}~B
"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1c2ccccc2Cl ,37.73180644545484,ZaraaaaarasaaaaasZ 
nitrofurantoin,-1.243,1,238.159,1,2,3,118.04999999999998,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,99.99304022919347,B~AsAD{D~Aaraaa{br}D{~B}~B}A{~B}Ds 
Nitrofen,-5.361000000000001,1,284.098,0,2,3,52.37,-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,29.199687319298818,Zasaaa{Baraaa{aar}D{~B}~B}a{Z}as
Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,CC1(C)C2CCC1(C)C(=O)C2,61.57374006692314,AAr{A}AsAAAr{A}A{~B}As
5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27000000000001,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,79.19609161808225,B~ArDA{~B}DA{~B}Ar{AA~A}araaaaar
Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25,CCCCC(=O)OCC,74.41286269143139,AAAAA{~B}BAA
Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,CC(C)CCOC(=O)C,59.71067835412843,AA{A}AABA{~B}A
3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1,380.444,1,3,8,75.71,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,12.927942397567621,B~ArD{ABA{~B}AAAAA}A{~B}A{Dr}{asaaaaas}ataaaaat
"2,3',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,9.22934711936102,Zaraaaa{ar}asaa{Z}aaasZ 
1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,CCCBr,50.7150574111096,AAAX
Propiconazole,-4.603,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,99.61346433023233,AAAArABA{Adsadads}{Br}ataaa{Z}aatZ
Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O,63.190203777323994,ABK{~E}{BA}EAA{~B}D{A}A~B
4-methylpteridine,-1.24,1,146.15299999999996,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12,3.5657814496538376,Aardadasdaadars
Thiourea,0.3289999999999999,1,76.12400000000001,2,0,0,52.04,0.32,NC(=S)N,3.3738564651814187,DA{~E}D
p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77,Cc1ccc(C)cc1,92.23171576571643,Aaraaa{A}aar
"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28,CCc1ccccc1CC,99.84539879373332,AAaraaaaarAA
Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,97.86643414437187,ZA{Z}{Z}A{Z}{Z}Z
Flucythrinate,-6.877999999999999,1,451.4690000000001,0,3,9,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,1.0810867000431157,AA{A}A{A{~B}BA{A^D}araaaa{Basaaaaas}ar}ataaa{BA{G}G}aat
1-Nitropropane,-0.816,1,89.09399999999998,0,0,2,43.14,-0.8,CCCN(=O)=O,11.706291144914632,AAAD{~B}~B
Menthone,-2.516,1,154.253,0,1,1,17.07,-2.35,CC(C)C1CCC(C)CC1=O,78.45602809945834,AA{A}ArAAA{A}AAr~B
RTI 24,-4.423,1,273.723,1,3,1,45.23,-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,33.62271367233058,AADsaraa{Z}aaarDA{~B}ataaadast 
"2,3-Dichloronitrobenzene",-3.322,1,192.00100000000003,0,1,1,43.14,-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1,99.68656291449611,B~D{~B}ara{Z}a{Z}aaar
thiamylal,-3.063,1,254.355,2,1,5,58.2,-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,99.78411355628853,AAAA{A}Ar{AA~A}A{~B}DA{~E}DAr~B 
Fluoranthene,-4.957,2,202.256,0,4,0,0.0,-6.0,c1ccc2c(c1)c3cccc4cccc2c34,9.50716021111334,araaasa{ar}ataaaauaaaasatu
Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34,CCCOC(C)C,32.50141496081311,AAABA{A}A
"1,3-Dimethylnaphthalene",-4.147,1,156.22799999999998,0,2,0,0.0,-4.29,Cc1cc(C)c2ccccc2c1,81.69086553110773,Aaraa{A}asaaaaasar
diethylstilbestrol,-5.074,1,268.356,2,2,4,40.46,-4.07,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,89.04907633196282,AAA{~A{AA}araaa{B}aar}asaaa{B}aas 
Chlorothalonil,-3.995,1,265.914,0,1,0,47.58,-5.64,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,21.740287482287822,ar{A^D}a{Z}a{A^D}a{Z}a{Z}a{Z}r
"2,3',4',5-PCB",-6.312,1,291.992,0,2,1,0.0,-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,7.768284234283568,Zaraaa{Z}a{ar}asaaa{Z}a{Z}as
styrene oxide,-1.826,2,120.15099999999995,0,2,1,12.53,-1.6,C1OC1c2ccccc2 ,44.528684581779785,ArBArasaaaaas 
Isopropylbenzene ,-3.265,1,120.19499999999996,0,1,1,0.0,-3.27,CC(C)c1ccccc1,99.80567402054244,AA{A}araaaaar
Deoxycorticosterone,-3.939,1,330.4680000000001,1,4,2,54.370000000000005,-3.45,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,99.82610258777905,AArsAAAtA{AAAu~AA{~B}AAAtuA}AsAAArA{~B}AB
chlorquinox,-4.438,1,267.93,0,2,0,25.78,-5.43,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,30.50855432147637,as{Z}a{Z}a{Z}ardaadaras{Z} 
L-arabinose,0.601,1,150.13,4,1,0,90.15,0.39,C1OC(O)C(O)C(O)C1O,4.681812836031185,ArBA{B}A{B}A{B}ArB
Dichloromethane,-1.156,1,84.93299999999999,0,0,0,0.0,-0.63,ClCCl,7.020034275504361,ZAZ
1-Ethylnaphthalene ,-4.1,1,156.22799999999998,0,2,1,0.0,-4.17,CCc1cccc2ccccc12,85.89884954349927,AAaraaaasaaaaars
Methyl formate,-0.048,1,60.05200000000001,0,0,1,26.3,0.58,COC=O,9.229347119361043,ABA~B
o-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.74,Oc1ccccc1N(=O)=O,51.191690127217605,BaraaaaarD{~B}~B
thymine,-0.78,1,126.115,2,1,0,65.72,-1.506,Cc1c[nH]c(=O)[nH]c1=O ,40.10233509036959,Aara{dH}a{~B}{dH}ar~B 
2-Methylpropane,-1.891,1,58.124,0,0,0,0.0,-2.55,CC(C)C,85.73252734266352,AA{A}A
Inosine,-0.8340000000000001,1,268.22900000000004,4,3,2,133.75,-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,27.69425727261344,BAArBA{A{B}ArB}dsadata{B}dadast
Ioxynil,-4.615,1,370.915,1,1,0,44.02,-3.61,Oc1c(I)cc(C#N)cc1I,98.61431959918572,Bara{H}aa{A^D}aarH
Niclosamide,-5.032,1,327.1230000000001,2,2,3,92.47,-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,64.56412215165707,Baraaa{Z}aarA{~B}Dasaaa{aasZ}D{~B}~B
Pentane,-2.261,1,72.151,0,0,2,0.0,-3.18,CCCCC,99.24497972967652,AAAAA
Phenol,-1.991,1,94.113,1,1,0,20.23,0.0,c1ccccc1O,0.10351101267415119,araaaaarB
2-aminoanthracene,-3.789,1,193.249,1,3,0,26.02,-5.17,Nc3ccc2cc1ccccc1cc2c3 ,42.40201087934239,Dataaasaaraaaaaraasat 
theobromine,-1.05,1,180.167,1,2,0,72.68,-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,84.8204516013774,Adradasd{A}a{~B}{dH}a{~B}ars 
Isoquinoline,-2.531,2,129.16199999999998,0,2,0,12.89,-1.45,c1ccc2cnccc2c1,37.50087256184403,araaasadaaasar
Anilofos,-5.106,1,367.86,0,1,7,38.77,-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,76.18079561948343,ABK{~E}{BA}EAA{~B}D{A{A}A}araaa{Z}aar
Hexylbenzene ,-4.22,1,162.276,0,1,5,0.0,-5.21,CCCCCCc1ccccc1,40.52325314019236,AAAAAAaraaaaar
2-Chlorobiphenyl,-4.5280000000000005,1,188.657,0,2,1,0.0,-4.54,Clc1ccccc1c2ccccc2,71.66350257359841,Zaraaaaarasaaaaas
2-Methyl-1-Pentene,-2.3480000000000003,1,84.16199999999999,0,0,2,0.0,-3.03,CCCC(=C)C,97.50843686416233,AAAA{~A}A
"2,3,4-Trimethylpentane",-3.276,1,114.232,0,0,2,0.0,-4.8,CC(C)C(C)C(C)C,59.94438916098566,AA{A}A{A}A{A}A
Pentachlorobenzene,-5.167999999999999,1,250.339,0,1,0,0.0,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,21.348303018071547,Zaraa{Z}a{Z}a{Z}arZ
m-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.01,Oc1cccc(c1)N(=O)=O,18.865459984414112,Baraaaa{ar}D{~B}~B
1-Decene,-3.781,1,140.26999999999998,0,0,7,0.0,-5.51,CCCCCCCCC=C,27.056579385970526,AAAAAAAAA~A
Glyceryl triacetate,-1.285,1,218.205,0,0,5,78.9,-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C,6.306945855418721,AA{~B}BAA{ABA{~B}A}BA{~B}A
dimethirimol,-3.57,1,209.293,1,1,4,49.25000000000001,-2.24,CCCCc1c(C)nc(nc1O)N(C)C ,73.99572490957632,AAAAara{A}da{darB}D{A}A 
Cyfluthrin,-6.84,1,434.29400000000015,0,3,6,59.32000000000001,-7.337000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,10.131270021490579,AAr{A}A{A~A{Z}Z}ArA{~B}BA{A^D}asaaa{G}a{Bataaaaat}as
Pyridine,-1.481,2,79.10199999999998,0,1,0,12.89,0.76,c1ccncc1,14.771296449741754,araadaar
1-Bromoheptane,-3.366,1,179.101,0,0,5,0.0,-4.43,CCCCCCCBr,76.26197691850403,AAAAAAAX
"3,4-Dimethylpyridine",-2.067,1,107.156,0,1,0,12.89,0.36,Cc1ccncc1C,4.096190837534753,AaraadaarA
Fludrocortisone,-3.172,1,380.4560000000001,3,4,2,94.83,-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,99.89648898732585,AAtuAA{B}Ar{G}A{AAAs~AA{~B}AAArsA}AtAAAu{B}A{~B}AB 
ethiofencarb,-2.855,1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC ,67.49858503918693,AAEAaraaaaarBA{~B}DA 
Malonic acid diethylester,-1.413,1,160.16899999999998,0,0,4,52.60000000000001,-0.82,CCOC(=O)CC(=O)OCC,12.326270345341683,AABA{~B}AA{~B}BAA
d-Limonene,-3.429,1,136.238,0,1,1,0.0,-4.26,CC1=CCC(CC1)C(C)=C,82.78395858899007,AAr~AAA{AAr}A{A}~A
Indan,-3.057,2,118.17899999999996,0,2,0,0.0,-3.04,C1Cc2ccccc2C1,97.65488643178027,ArAasaaaaasAr
p-t-Butylphenol,-3.192,1,150.22099999999998,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1,80.76011145516382,AA{A}{A}araaa{B}aar
Cyclopropyl-5-spirobarbituric acid,-0.088,1,154.125,2,2,0,75.27,-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 ,58.11586511337749,B~AsDA{~B}Ar{AAr}A{~B}Ds 
m-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0.0,-3.55,Clc1cccc(I)c1,99.20315377056077,Zaraaaa{H}ar
1-Bromonapthalene,-4.434,1,207.07,0,2,0,0.0,-4.35,Brc1cccc2ccccc12,79.42781680516175,Xaraaaasaaaaars
trans-2-Pentene ,-2.076,1,70.135,0,0,1,0.0,-2.54,CC/C=C/C,85.3974505385207,AALA~ALA
"2,6-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1,5.963770662831474,Aaraaaa{A}dr
Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl,61.57374006692314,ZA~A{Z}Z
1-Napthylamine,-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12,59.71067835412843,Daraaaasaaaaars
m-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.82,Cc1cccc(C)c1,93.45930144998869,Aaraaaa{A}ar
2-hydroxypteridine,-1.404,1,148.125,1,2,0,71.79,-1.947,Oc2ncc1nccnc1n2,60.96996044451868,Basdaardaadards
Methanol,0.441,1,32.042,1,0,0,20.23,1.57,CO,49.52328603096588,AB
Amobarbital,-2.312,1,226.276,2,1,4,75.27000000000001,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,82.89180734718033,AAAr{AAA{A}A}A{~B}DA{~B}DAr~B
2-Butanone,-0.491,1,72.107,0,0,1,17.07,0.52,CCC(=O)C,7.641159759729815,AAA{~B}A
5-fluorouracil,-0.792,1,130.078,2,1,0,65.72,-1.077,Fc1c[nH]c(=O)[nH]c1=O ,21.426492682219404,Gara{dH}a{~B}{dH}ar~B 
tubercidin,-0.892,1,266.257,4,3,2,126.65,-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,61.10944716752371,Dardadasd{aaars}AtBA{AB}A{B}AtB 
"1,3-Benzenediol",-1.59,1,110.11199999999998,2,1,0,40.46,0.81,Oc1cccc(O)c1,16.502158552019164,Baraaaa{B}ar
1-Hexanol,-1.3969999999999998,1,102.177,1,0,4,20.23,-1.24,CCCCCCO,28.121918546271846,AAAAAAB
1-Chloropentane,-2.294,1,106.596,0,0,3,0.0,-2.73,CCCCCCl,91.18041552239193,AAAAAZ
"1,3-Butadiene",-1.376,1,54.09199999999999,0,0,1,0.0,-1.87,C=CC=C,57.36231123861872,A~AA~A
Propyl acetate,-1.125,1,102.13299999999998,0,0,2,26.3,-0.72,CCCOC(=O)C,9.367791956044508,AAABA{~B}A
